Application: Tecan i-control;;;;Tecan i-control , 1.10.4.0;;;;;;;
Device: infinite 200Pro;;;;Serial number: 1308001874;;;;Serial number of connected stacker:;;;
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;;;;
;;;;;;;;;;;
Date:;23/10/2013;;;;;;;;;;
Time:;10:25:49;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
System;;;;TECAN-PC;;;;;;;
User;;;;tecan-PC\tecan;;;;;;;
Plate;;;;Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx];;;;;;;
Plate-ID (Stacker);;;;;;;;;;;
;;;;;;;;;;;
List of actions in this measurement script:;;;;;;;;;;;
Kinetic;;;;;;;;;;;
Absorbance;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Label: abso;;;;;;;;;;;
Kinetic Measurement;;;;;;;;;;;
Kinetic Cycles;;;;5;;;;;;;
Interval Time;;;;Minimal;;;;;;;
Mode;;;;Absorbance;;;;;;;
Wavelength;;;;600;nm;;;;;;
Bandwidth;;;;10;nm;;;;;;
Number of Flashes;;;;20;;;;;;;
Settle Time;;;;0;ms;;;;;;
Start Time:;23/10/2013 10:25:50;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Cycle Nr.;1;2;3;4;5;;;;;;
Temp. [°C];24,7;24,7;24,7;25,1;24,7;;;;;;
A1;0,049400002;0,049400002;0,0495;0,049400002;0,0495;;;;;;
Time [ms];0;64027;128055;192087;256116;;;;;;
A2;0,046399999;0,046399999;0,046599999;0,046599999;0,046599999;;;;;;
Time [ms];609;64636;128664;192696;256725;;;;;;
A3;0,0502;0,050000001;0,050099999;0,050299998;0,0502;;;;;;
Time [ms];1218;65245;129273;193305;257334;;;;;;
A4;0,045499999;0,045600001;0,0458;0,045699999;0,045600001;;;;;;
Time [ms];1827;65854;129883;193914;257943;;;;;;
A5;0,0462;0,046100002;0,046399999;0,046100002;0,046300001;;;;;;
Time [ms];2436;66463;130492;194523;258552;;;;;;
A6;0,046399999;0,046500001;0,046599999;0,046599999;0,046599999;;;;;;
Time [ms];3045;67072;131101;195132;259161;;;;;;
A7;0,046599999;0,046799999;0,046799999;0,046700001;0,046799999;;;;;;
Time [ms];3654;67681;131710;195741;259770;;;;;;
A8;0,045499999;0,045499999;0,045499999;0,045400001;0,045499999;;;;;;
Time [ms];4263;68290;132318;196350;260379;;;;;;
A9;0,0451;0,0451;0,045200001;0,0451;0,045200001;;;;;;
Time [ms];4872;68899;132928;196959;260989;;;;;;
A10;0,046399999;0,046300001;0,046599999;0,046399999;0,046599999;;;;;;
Time [ms];5481;69508;133537;197568;261598;;;;;;
A11;0,045499999;0,045499999;0,045699999;0,045499999;0,045699999;;;;;;
Time [ms];6090;70117;134146;198177;262207;;;;;;
A12;0,046700001;0,046700001;0,0469;0,046799999;0,0469;;;;;;
Time [ms];6699;70726;134755;198786;262816;;;;;;
B1;0,054099999;0,0548;0,0548;0,0548;0,0546;;;;;;
Time [ms];14113;78139;142169;206201;270229;;;;;;
B2;0,046799999;0,0471;0,047499999;0,047200002;0,0473;;;;;;
Time [ms];13504;77530;141560;205592;269620;;;;;;
B3;0,045899998;0,046300001;0,046500001;0,046399999;0,046500001;;;;;;
Time [ms];12895;76921;140951;204983;269011;;;;;;
B4;0,047499999;0,047800001;0,0482;0,047800001;0,047899999;;;;;;
Time [ms];12286;76312;140342;204374;268402;;;;;;
B5;0,045899998;0,046500001;0,046399999;0,046300001;0,046399999;;;;;;
Time [ms];11677;75703;139733;203765;267793;;;;;;
B6;0,047600001;0,047899999;0,048300002;0,048099998;0,048;;;;;;
Time [ms];11068;75094;139124;203156;267184;;;;;;
B7;0,046500001;0,046799999;0,0469;0,046700001;0,046799999;;;;;;
Time [ms];10459;74485;138515;202547;266575;;;;;;
B8;0,048900001;0,0491;0,049199998;0,0493;0,0493;;;;;;
Time [ms];9849;73876;137905;201938;265966;;;;;;
B9;0,0458;0,046;0,046;0,046100002;0,046;;;;;;
Time [ms];9240;73267;137296;201329;265357;;;;;;
B10;0,048599999;0,048799999;0,048999999;0,048799999;0,048799999;;;;;;
Time [ms];8631;72658;136687;200720;264748;;;;;;
B11;0,044;0,044;0,044199999;0,044199999;0,044199999;;;;;;
Time [ms];8022;72049;136078;200111;264139;;;;;;
B12;0,0469;0,0469;0,0471;0,046999998;0,0471;;;;;;
Time [ms];7413;71440;135469;199502;263530;;;;;;
C1;0,044;0,044500001;0,044599999;0,044500001;0,044500001;;;;;;
Time [ms];14827;78853;142883;206916;270944;;;;;;
C2;0,046700001;0,0469;0,0471;0,0471;0,0471;;;;;;
Time [ms];15436;79462;143492;207525;271553;;;;;;
C3;0,0449;0,045000002;0,045499999;0,045299999;0,045400001;;;;;;
Time [ms];16045;80071;144101;208134;272162;;;;;;
C4;0,045499999;0,045899998;0,0458;0,045899998;0,045899998;;;;;;
Time [ms];16654;80680;144710;208743;272771;;;;;;
C5;0,050099999;0,050299998;0,050500002;0,0504;0,050099999;;;;;;
Time [ms];17263;81289;145319;209352;273380;;;;;;
C6;0,0447;0,0451;0,045400001;0,045400001;0,045200001;;;;;;
Time [ms];17872;81898;145928;209961;273989;;;;;;
C7;0,044599999;0,0449;0,0449;0,045000002;0,0449;;;;;;
Time [ms];18481;82507;146537;210570;274598;;;;;;
C8;0,046100002;0,046300001;0,046700001;0,046500001;0,046700001;;;;;;
Time [ms];19090;83116;147146;211179;275207;;;;;;
C9;0,044599999;0,045000002;0,045200001;0,0451;0,045000002;;;;;;
Time [ms];19699;83725;147755;211788;275816;;;;;;
C10;0,044799998;0,045200001;0,045400001;0,045400001;0,045299999;;;;;;
Time [ms];20308;84334;148364;212397;276425;;;;;;
C11;0,048300002;0,048999999;0,0491;0,049199998;0,048599999;;;;;;
Time [ms];20917;84943;148973;213006;277034;;;;;;
C12;0,046;0,046500001;0,046399999;0,046300001;0,046399999;;;;;;
Time [ms];21526;85552;149582;213615;277643;;;;;;
D1;0,046300001;0,046599999;0,0471;0,046799999;0,046799999;;;;;;
Time [ms];28940;92965;156995;221030;285057;;;;;;
D2;0,0469;0,047400001;0,0473;0,047499999;0,047400001;;;;;;
Time [ms];28331;92356;156386;220421;284448;;;;;;
D3;0,045600001;0,0458;0,046100002;0,045899998;0,045899998;;;;;;
Time [ms];27722;91747;155777;219812;283839;;;;;;
D4;0,0458;0,0462;0,046399999;0,046500001;0,046399999;;;;;;
Time [ms];27113;91138;155168;219203;283230;;;;;;
D5;0,051800001;0,052200001;0,052499998;0,0526;0,0524;;;;;;
Time [ms];26504;90529;154559;218594;282621;;;;;;
D6;0,044799998;0,045400001;0,045400001;0,045400001;0,045400001;;;;;;
Time [ms];25895;89920;153950;217985;282012;;;;;;
D7;0,0449;0,0451;0,045400001;0,045200001;0,0451;;;;;;
Time [ms];25286;89311;153341;217376;281403;;;;;;
D8;0,045299999;0,045699999;0,046;0,0458;0,046;;;;;;
Time [ms];24677;88702;152732;216767;280794;;;;;;
D9;0,045899998;0,046399999;0,046500001;0,046399999;0,046399999;;;;;;
Time [ms];24067;88093;152123;216158;280185;;;;;;
D10;0,045200001;0,045400001;0,045600001;0,045600001;0,045600001;;;;;;
Time [ms];23459;87484;151514;215549;279576;;;;;;
D11;0,046300001;0,046700001;0,046700001;0,046700001;0,046799999;;;;;;
Time [ms];22849;86875;150905;214940;278966;;;;;;
D12;0,046100002;0,046300001;0,046799999;0,046700001;0,046300001;;;;;;
Time [ms];22240;86266;150296;214330;278357;;;;;;
E1;0,045299999;0,045400001;0,045699999;0,045699999;0,045600001;;;;;;
Time [ms];29654;93680;157709;221744;285771;;;;;;
E2;0,046;0,046599999;0,0469;0,046599999;0,046599999;;;;;;
Time [ms];30263;94289;158318;222353;286380;;;;;;
E3;0,045400001;0,0458;0,046;0,046;0,046;;;;;;
Time [ms];30872;94898;158927;222962;286989;;;;;;
E4;0,044799998;0,045200001;0,045299999;0,045299999;0,045299999;;;;;;
Time [ms];31481;95507;159536;223571;287598;;;;;;
E5;0,045200001;0,045600001;0,045699999;0,045699999;0,045499999;;;;;;
Time [ms];32090;96116;160145;224180;288207;;;;;;
E6;0,045400001;0,045699999;0,045899998;0,0458;0,0458;;;;;;
Time [ms];32699;96725;160755;224789;288816;;;;;;
E7;0,045699999;0,046300001;0,0462;0,046;0,0462;;;;;;
Time [ms];33308;97334;161364;225398;289425;;;;;;
E8;0,043099999;0,043699998;0,043900002;0,043699998;0,0436;;;;;;
Time [ms];33917;97943;161973;226007;290034;;;;;;
E9;0,044500001;0,044799998;0,045000002;0,044799998;0,0451;;;;;;
Time [ms];34526;98552;162582;226616;290643;;;;;;
E10;0,045499999;0,046;0,046300001;0,046;0,046;;;;;;
Time [ms];35135;99161;163191;227225;291252;;;;;;
E11;0,045200001;0,045499999;0,045699999;0,045699999;0,045600001;;;;;;
Time [ms];35744;99770;163800;227834;291861;;;;;;
E12;0,045299999;0,045699999;0,046;0,045899998;0,045899998;;;;;;
Time [ms];36353;100379;164409;228443;292471;;;;;;
F1;0,046700001;0,047200002;0,047400001;0,047200002;0,0471;;;;;;
Time [ms];43767;107794;171824;235856;299885;;;;;;
F2;0,045299999;0,045499999;0,046;0,045699999;0,045699999;;;;;;
Time [ms];43158;107184;171215;235247;299276;;;;;;
F3;0,046500001;0,0469;0,047200002;0,047200002;0,0471;;;;;;
Time [ms];42549;106575;170606;234638;298667;;;;;;
F4;0,044599999;0,045200001;0,045299999;0,0451;0,045299999;;;;;;
Time [ms];41940;105966;169997;234029;298058;;;;;;
F5;0,0447;0,045200001;0,045400001;0,045499999;0,045499999;;;;;;
Time [ms];41331;105357;169388;233420;297449;;;;;;
F6;0,044599999;0,045200001;0,045400001;0,045299999;0,045299999;;;;;;
Time [ms];40722;104748;168779;232811;296840;;;;;;
F7;0,045299999;0,045600001;0,045600001;0,045699999;0,045899998;;;;;;
Time [ms];40113;104139;168170;232202;296231;;;;;;
F8;0,0462;0,046700001;0,0469;0,046799999;0,0469;;;;;;
Time [ms];39504;103530;167561;231593;295622;;;;;;
F9;0,045400001;0,0458;0,046100002;0,046100002;0,046100002;;;;;;
Time [ms];38895;102921;166952;230984;295013;;;;;;
F10;0,0451;0,045699999;0,045899998;0,0458;0,0458;;;;;;
Time [ms];38286;102312;166343;230375;294403;;;;;;
F11;0,0449;0,045400001;0,045400001;0,045499999;0,045200001;;;;;;
Time [ms];37677;101703;165734;229766;293794;;;;;;
F12;0,045600001;0,046;0,046100002;0,045899998;0,046;;;;;;
Time [ms];37068;101094;165125;229157;293185;;;;;;
G1;0,045699999;0,046100002;0,046399999;0,046300001;0,0462;;;;;;
Time [ms];44481;108508;172540;236570;300599;;;;;;
G2;0,046599999;0,0471;0,047200002;0,0471;0,047400001;;;;;;
Time [ms];45090;109117;173149;237179;301208;;;;;;
G3;0,045000002;0,045200001;0,045400001;0,045499999;0,045400001;;;;;;
Time [ms];45699;109726;173758;237788;301817;;;;;;
G4;0,0451;0,045699999;0,0458;0,0458;0,045699999;;;;;;
Time [ms];46308;110335;174367;238397;302426;;;;;;
G5;0,046399999;0,046599999;0,046799999;0,046700001;0,046799999;;;;;;
Time [ms];46917;110944;174976;239006;303035;;;;;;
G6;0,046300001;0,046799999;0,0469;0,046999998;0,046999998;;;;;;
Time [ms];47526;111553;175585;239615;303644;;;;;;
G7;0,046399999;0,046799999;0,0469;0,046700001;0,0469;;;;;;
Time [ms];48135;112162;176194;240224;304253;;;;;;
G8;0,0458;0,0462;0,046399999;0,0462;0,046500001;;;;;;
Time [ms];48744;112771;176803;240833;304862;;;;;;
G9;0,046399999;0,0469;0,046999998;0,046999998;0,0471;;;;;;
Time [ms];49353;113380;177412;241442;305471;;;;;;
G10;0,0482;0,048599999;0,048700001;0,048799999;0,048700001;;;;;;
Time [ms];49962;113989;178021;242051;306080;;;;;;
G11;0,045899998;0,0462;0,046500001;0,046599999;0,046399999;;;;;;
Time [ms];50572;114598;178630;242660;306689;;;;;;
G12;0,048;0,048599999;0,048500001;0,048599999;0,048599999;;;;;;
Time [ms];51180;115207;179239;243269;307298;;;;;;
H1;0,048700001;0,048999999;0,0493;0,049199998;0,049199998;;;;;;
Time [ms];58593;122620;186652;250683;314712;;;;;;
H2;0,046300001;0,046599999;0,046799999;0,046599999;0,046700001;;;;;;
Time [ms];57984;122011;186044;250074;314103;;;;;;
H3;0,045400001;0,045600001;0,045899998;0,045899998;0,046;;;;;;
Time [ms];57375;121402;185434;249465;313494;;;;;;
H4;0,046399999;0,046799999;0,046799999;0,0469;0,0469;;;;;;
Time [ms];56766;120793;184825;248856;312885;;;;;;
H5;0,048500001;0,0491;0,0493;0,049199998;0,049199998;;;;;;
Time [ms];56157;120184;184217;248247;312276;;;;;;
H6;0,046500001;0,046799999;0,0471;0,046999998;0,046999998;;;;;;
Time [ms];55548;119575;183607;247638;311667;;;;;;
H7;0,048599999;0,048900001;0,0491;0,048999999;0,049199998;;;;;;
Time [ms];54939;118966;182999;247029;311058;;;;;;
H8;0,050500002;0,051199999;0,051100001;0,051100001;0,051100001;;;;;;
Time [ms];54330;118357;182389;246420;310449;;;;;;
H9;0,047499999;0,047699999;0,048;0,048;0,0482;;;;;;
Time [ms];53721;117748;181780;245811;309840;;;;;;
H10;0,048099998;0,0484;0,048599999;0,048500001;0,048700001;;;;;;
Time [ms];53112;117139;181171;245202;309231;;;;;;
H11;0,0469;0,047400001;0,047600001;0,047499999;0,047400001;;;;;;
Time [ms];52503;116530;180562;244593;308622;;;;;;
H12;0,048599999;0,048799999;0,048999999;0,048900001;0,048700001;;;;;;
Time [ms];51894;115921;179953;243984;308013;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
End Time:;23/10/2013 10:31:10;;;;;;;;;;
